Num,N-C,Recibe,Resuelve,Remota,Fecha llamada,Hora llamada, Cod Cliente,Nombre Cliente,Cod Equipo,Nombre Equipo,Serie,ID SAP,Tipo de Problema,Subtipo de Problema,Comentario,Fecha inicio actividad,Hora inicio actividad,Fecha fin actividad,Hora fin actividad,Tiempo efectivo,Resolución,Resuelve,Cerrada,Procesada
0000014929,"N","Martin Machado","Martin Machado",0,2024-05-17,12:30:00,"C0146","CAMEDUR IAMPP","INTSSE129M","Genio","18512542","0","ST","OTRO","PC no enciende",2024-05-17,12:30:00,2024-05-17,12:45:00,0.50,"Se intenta guiar para encender la PC del equipo, pero no se logra encender. Se deriva a IT","",0,"N"
0000014932,"0000014929","Martin Machado","Lucas Saldaña",0,2024-05-17,12:30:00,"C0146","CAMEDUR IAMPP","INTSSE129M","Genio","18512542","0","SI","OTRO","PC no enciende",2024-05-17,15:00:00,2024-05-17,18:00:00,3.00,"Informan que la PC no prende, se toma un pc de taller, cambio de disco mecánico a disco solido. Instalación de sistema operativo. Instalación de software Infolab para Genio. Instalación de drivers, pruebas de software funcionan, no contamos con un equipo en taller para poder hacer pruebas de campo. Dejo Anydesk y envío un adaptador WIFI para poder hacer asistencia remota en caso de ser necesaria la modificación del Software. La pc funciona OK. Hablo con usuaria, informa que tiene 3 muestras de urgencia pero puede aguardar al lunes el envío de la PC. Tuve asistencia de Fernando Rodríguez.","",0,"N"
0000014915,"N","Martin Machado","Martin Machado",1,2024-05-17,12:00:00,"C0051","Servicio Nacional de Sangre","BR001500KT","IH-500 |Equipo  |Bio Rad DiaMed GMBH","0500958","0","ST","OTRO","Error de inicio de IH-COM",2024-05-17,12:00:00,2024-05-17,12:50:00,1.00,"Se vacía la carpeta backup y se realiza copia en el escritorio, se reinicia IH-com y Comunicator, además de la PC. Se inicia nuevamente el sistema y se comprueba la comunicación, se verifica recepción de resultados. Equipo queda operativo ","",1,"N"
0000014910,"N","Renato Sosa","Renato Sosa",0,2024-05-17,11:55:00,"C0085","Laboratorio Teixeira SRL","INTSSE129M","Genio","18211265","0","ST","MC","Pila de la PC agotada. ",2024-05-17,12:00:00,2024-05-17,12:10:00,0.10,"Se queda de pasar a cambiarla cuando se vaya a ver otro equipo. Se le avisa que presionado F1 al iniciar puede utilizar el equipo.","",0,"N"
0000014909,"N","Guillermo Tomas","Guillermo Tomas",0,2024-05-17,09:00:00,"C0003","Banco de Previsión Social","BCB1018-283","Walkaway 40 PLUS | Equipo | Beckman Coulter","34030098","0","ST","SW","Actualización de LabPro 5.0 PU 9",2024-05-17,09:00:00,2024-05-17,11:30:00,3.00,"Se realiza la actualización de software en él cliente.  - Respaldo de la base de datos , datos de LIS y configuración de paneles actuales.  - Actualización de LabPro 5.0  - Retiro de las contraseñas del nuevo software.  - Actualización de PU 09  - Verificación de estado y comunicación con el equipo. Se aprovecha a revisar System Total Check Out , Grabber Mapping , Dispensado de reactivos sin problemas.  - Se verifica la entrada de datos de pacientes y peticiones .  - Se carga paneles con el cliente. Equipo operativo ","",1,"N"
0000014911,"N","Luis Oropeza","Luis Oropeza",0,2024-05-17,09:00:00,"C0223","CABINSUR SA","SYCJ445012","UD-10 COMPLETE | SYSMEX","12922","0","ST","MC","Puesta a punto de equipo. (estaba descalibrada la aguja)",2024-05-17,09:15:00,2024-05-17,12:00:00,2.45,"Se reposiciona el equipo con respecto al CV-11..  se anclan a los soportes.  Se simulan pruebas.  Equipo Operativo  ","",1,"N"
0000014887,"N","Matias Davyt","Matias Davyt",1,2024-05-16,15:36:00,"C0006","CASMU - IAMPP","INVS3000i","QUANTA-Lyser 3000 ELISA/IFA + Incubator  | Werfen","2002010271","0","ST","MC","UPS con alarma código 28",2024-05-16,15:40:00,2024-05-16,15:52:00,0.20,"MD - Se guía a la usuaria a invertir la ficha de la UPS en el toma corriente. Desapareció la alarma. En observación","",1,"N"
0000014883,"N","Matias Davyt","Matias Davyt",1,2024-05-16,14:35:00,"C0045","ASSE - Hospital de Salto UE 028","BR2200220","D10 HbA1c Analyzer","DM22C31001","0","ST","OTRO","Presión muy baja",2024-05-16,14:35:00,2024-05-16,14:41:00,0.10,"MD - Se le solicita foto de los reactivos y se constata que tienen bajo volumen, tanto el Reactivo 1 como el Wash. Se deriva a Asesoría ya que la usuaria no está capacitada en el equipo.","",0,"N"
0000014894,"N","Fernando Conlazo","Martin Machado",0,2024-05-16,09:00:00,"C0021","Laboratorio G. Martínez Prado S.A.","INT030","INGENIUS ELITE | Equipo | Elitech Group","2071902B0381E","0","ST","MPA","Mantenimiento Preventivo Anual",2024-05-16,09:00:00,2024-05-16,13:30:00,4.00,"Se realiza la primer parte del MPA del equipo ","",1,"N"
0000014895,"0000014894","Fernando Conlazo","Fernando Conlazo",0,2024-05-16,09:00:00,"C0021","Laboratorio G. Martínez Prado S.A.","INT030","INGENIUS ELITE | Equipo | Elitech Group","2071902B0381E","0","ST","MPA","Mantenimiento Preventivo Anual",2024-05-16,11:00:00,2024-05-16,17:40:00,6.00,"Se realiza la primer parte del MPA del equipo ","",0,"N"
0000014934,"0000014894","Fernando Conlazo","Fernando Conlazo",0,2024-05-16,09:00:00,"C0021","Laboratorio G. Martínez Prado S.A.","INT030","INGENIUS ELITE | Equipo | Elitech Group","2071902B0381E","0","ST","MPA","Mantenimiento Preventivo Anual",2024-05-17,09:40:00,2024-05-17,17:50:00,8.00,"Se culmina el MPA del equipo. Se respalda la database y se realiza la actualización de software y firmware sin errores.   Se realizan pruebas de presión con valores en rango y se larga corrida con agua PCR only, se verifica dispensado de líquido en los cartuchos.   Equipo liberado a explotación","",0,"N"
0000014935,"0000014894","Fernando Conlazo","Martin Machado",0,2024-05-16,09:00:00,"C0021","Laboratorio G. Martínez Prado S.A.","INT030","INGENIUS ELITE | Equipo | Elitech Group","2071902B0381E","0","ST","MPA","Mantenimiento Preventivo Anual",2024-05-17,09:40:00,2024-05-17,13:30:00,4.00,"Se culmina el MPA del equipo junto a Fernando Conlazo","",0,"N"
0000014916,"N","Santiago Lopez","Santiago Lopez",0,2024-05-16,08:00:00,"C0030","Siembrasur S.A.","IDSIS310400","ISYS Multi-Discipline Automated System  | IDS","B300B0343","0","ST","MPA","MPA",2024-05-16,09:15:00,2024-05-16,17:45:00,9.00,"Se realiza primera parte del MPA. Para más información ver informe de mantenimiento.","",0,"N"
0000014917,"0000014916","Santiago Lopez","Maximiliano Vespa",0,2024-05-16,08:00:00,"C0030","Siembrasur S.A.","IDSIS310400","ISYS Multi-Discipline Automated System  | IDS","B300B0343","0","ST","MPA","MPA",2024-05-16,09:15:00,2024-05-16,17:45:00,9.00,"Se realiza primera parte del MPA. Para más información ver informe de mantenimiento.","",0,"N"
0000014918,"0000014916","Santiago Lopez","Santiago Lopez",0,2024-05-16,08:00:00,"C0030","Siembrasur S.A.","IDSIS310400","ISYS Multi-Discipline Automated System  | IDS","B300B0343","0","ST","MPA","MPA",2024-05-17,09:15:00,2024-05-17,13:15:00,4.00,"Se completa el MPA. Para más información ver informe de mantenimiento.","",0,"N"
0000014919,"0000014916","Santiago Lopez","Maximiliano Vespa",0,2024-05-16,08:00:00,"C0030","Siembrasur S.A.","IDSIS310400","ISYS Multi-Discipline Automated System  | IDS","B300B0343","0","ST","MPA","MPA",2024-05-17,09:15:00,2024-05-17,13:15:00,4.00,"Se completa el MPA. Para más información ver informe de mantenimiento.","",0,"N"
0000014877,"N","Fernando Rodriguez","Fernando Rodriguez",0,2024-05-15,17:52:00,"C0223","CABINSUR SA","BR1844095","CFX96 DEEP W OPTICAL | Equipo |Bio-Rad","790BR03034","0","ST","MC","Reparación y verificación de cfx  de taller",2024-05-15,15:00:00,2024-05-15,18:00:00,3.00,"Se arma un equipo cfx96 S/N: 790BR03034 y la base :  C1000 S/N: CTO56949.  Se chequea desde servicio se corre IST y se observan 3 fail  . Desde usuario no presenta error.  Mañana se continua trabajando en el equipo.","",0,"N"
0000014930,"0000014877","Fernando Rodriguez","Fernando Rodriguez",0,2024-05-15,17:52:00,"C0223","CABINSUR SA","BR1844095","CFX96 DEEP W OPTICAL | Equipo |Bio-Rad","790BR03034","0","ST","MC","Reparación y verificación de cfx  de taller",2024-05-17,09:00:00,2024-05-17,18:00:00,9.00,"Se soluciona contaminacion en los posillos del modulo de reaccion  se procesa IST sin error,se corre varios protocolos sin placa presentando una falla de firmware segun manual se continuara trabajando la semana proxima.","",0,"N"
0000014876,"N","Luis Oropeza","Luis Oropeza",0,2024-05-15,17:45:00,"C0157","UNIVERSAL SPS","DE81200","Chorus Trio","3133","0","ST","MPA","MPA",2024-05-15,09:45:00,2024-05-15,17:15:00,7.00,"Limpieza interna del equipo.  Limpieza de cuba de desechos internos.  Reemplazo de cabezales de bomba peristálticas, mangueras, tip de la jeringa y esponjas.  Ajuste de voltajes.  Reemplazo de cable de sensores de la cuba.","",1,"N"
0000014881,"0000014876","Luis Oropeza","Luis Oropeza",0,2024-05-15,17:45:00,"C0157","UNIVERSAL SPS","DE81200","Chorus Trio","3133","0","ST","MPA","MPA",2024-05-16,09:35:00,2024-05-16,12:00:00,3.00,"Limpieza y calibración de óptica.  Limpieza inferior del tray.  Ajuste y limpieza de las estaciones de lavado.   Se calibra el touch scren.  Se decontaminan los bidones.  Se realizan pruebas de dispensado,  lavadores, drill, etc. Con resultados satisfactorios.   Se realizaron pruebas de transferencia de líquidos.   Se hacen chequeos hidráulicos,  se simula pruebas.   Equipo operativo. ","",0,"N"
0000014863,"N","Martin Machado","Santiago Lopez",0,2024-05-15,11:14:00,"C0434","Asociación Civil Banco de Prótesis","BR009550","ID-Centrifuge 12 SII (100-240V) |Bio Rad DiaMed GMBH","2002434","0","ST","MC","Error en pantalla.",2024-05-15,11:50:00,2024-05-15,12:05:00,0.25,"Nos comunicamos con el usuario. Nos comenta que pone símbolos y números de manera aleatoria en la pantalla, también nos comenta que reinició el equipo por varios minutos y que al encender funcionó de manera correcta.  Nos mantendrá al tanto en caso de persistir el error.","",1,"N"
