Num,N-C,Recibe,Resuelve,Remota,Fecha llamada,Hora llamada, Cod Cliente,Nombre Cliente,Cod Equipo,Nombre Equipo,Serie,ID SAP,Tipo de Problema,Subtipo de Problema,Comentario,Fecha inicio actividad,Hora inicio actividad,Fecha fin actividad,Hora fin actividad,Tiempo efectivo,Resolución,Resuelve,Cerrada,Procesada
0000014241,"N","Julian Pastoriza","Lucas Saldaña",0,2024-04-09,17:27:00,"C0223","CABINSUR SA","","","","0","SI","APP","(TICKET): Necesito que STAT-us y conteo pueda ver el almacen nuevo (almacen 03)  STAT-us para poder ver el stock  Conteo para poder modificar la ubicación de los items en ese almacen",1900-01-01,00:00:00,1900-01-01,00:00:00,0.00,"","",0,"N"
0000014235,"N","Matias Davyt","Matias Davyt",1,2024-04-09,15:50:00,"C0012","Dirección Nacional de Sanidad de las Fuerzas Armadas","BK37100344","Bio-Flash SYSTEM | Equipo | Werfen","70223","0","ST","MC","Problemas con la lectura de los tubos de muestras",2024-04-09,15:50:00,2024-04-09,15:56:00,0.25,"MD - Se comunica la usuaria del BioFlash para comentar que están tendiendo dificultades en la lectura de los códigos de barra de muestras. Se le consulta si están colocando los tubos en los adaptadores. Comentan que sí. Quedamos en avisarle cuando pasemos.","",0,"N"
0000014233,"N","Noemi Rodriguez","Noemi Rodriguez",0,2024-04-09,14:00:00,"C0467","Juan B. Canali S.A.","PER055300","Aquamatic 5200-A 50/60Hz 230V | Equipo | Perkin Elmer","2155384","0","STA","MPA","Mantenimiento Anual ",2024-04-09,14:00:00,2024-04-09,15:30:00,1.30,"Limpieza con aire seco y alcohol, verificación de celda.   Sugiere utilizar el equipo con UPS y corregir nivel en el laboratorio.   ","",1,"N"
0000014236,"N","Noemi Rodriguez","Noemi Rodriguez",0,2024-04-09,11:30:00,"C0467","Juan B. Canali S.A.","PER088800","INFRAMATIC 8800 230/115V | Equipo | Perkin Elmer","1726388","0","STA","MC","No recepciona muestras de Trigo",2024-04-09,11:30:00,2024-04-09,15:00:00,3.00,"Resetea equipo, Borra base de datos. ","",0,"N"
0000014227,"N","Martin Machado","Martin Machado",0,2024-04-09,09:00:00,"C0091","ASSE - Hospital de Río Negro U.E. 026","BR2200220","D10 HbA1c Analyzer","DC2B658408#","0","ST","OTRO","No comunica con el LIS",2024-04-09,09:00:00,2024-04-09,09:30:00,1.00,"Se verifica que el puerto RS232 comunique, test da OK. Se les unifica que se comuniquen con el proveedor del LIS. ","",0,"N"
0000014224,"N","Martin Machado","Martin Machado",0,2024-04-08,18:13:00,"C0002","AMEDRIN IAMPP","BR2200220","D10 HbA1c Analyzer","DA4J399818#","0","ST","INS","Actualización de equipo ",2024-04-08,15:00:00,2024-04-08,18:15:00,5.00,"Se instala equipo actualizado, se coloca pack nuevo y se realizan purgas. El equipo mantiene presión y temperatura estable, se procede a pasar prime, calibrador y controles, lo cuales pasan sin problema. Se aguarda que el usuario procese muestras, una de las cuales muestra una ventana variante en 1.62, la repite y persiste, la diluye y persiste la ventana variante. Se habla con asesoría e indica dejar el equipo en observación en caso de que persista para otras muestras. Equipo queda operativo.","",0,"N"
0000014213,"N","Noemi Rodriguez","Noemi Rodriguez",0,2024-04-08,17:24:00,"C0467","Juan B. Canali S.A.","PER072505","DA 7250 At-line NIR Analyzer | Equipo | Perkin Elmer","2021771","0","STA","SW","Cambio de Hora y fecha ",2024-04-08,12:00:00,2024-04-08,17:30:00,4.00,"Con ayuda de servicio técnico informático se trabaja en configuración de Windows y BIOS para restablecer configuraciones  ","",1,"N"
0000014232,"0000014213","Noemi Rodriguez","Noemi Rodriguez",0,2024-04-08,17:24:00,"C0467","Juan B. Canali S.A.","PER072505","DA 7250 At-line NIR Analyzer | Equipo | Perkin Elmer","2021771","0","STA","SW","Cambio de Hora y fecha ",2024-04-09,10:40:00,2024-04-09,11:40:00,1.00,"El equipo continua con fallas en la actualización del horario. Se recomienda cambio de placa como posible solución.  Como solución provisoria se recomienda trabajar con el equipo conectado a internet para que se actualice automáticamente. ","",1,"N"
0000014223,"N","Carolina Proto","Carolina Proto",0,2024-04-08,17:00:00,"C0223","CABINSUR SA","","","","0","AT","OTRO","Inscripciones Webinars - Macopharma",2024-04-08,17:00:00,2024-04-08,17:15:00,0.25,"Se comunican del CASMU para que les hagamos llegar la informacion a un mail particular. Envio informacion completa.  Se seguirá gestionando las inscripciones al evento","",0,"N"
0000014222,"N","Carolina Proto","Carolina Proto",1,2024-04-08,16:00:00,"C0276","Clínica Preventiva SRL","SW_01","Software Unity |Bio Rad Laboratories Inc.","","0","AQC","QC","Consulta por valor HDL",2024-04-08,16:00:00,2024-04-08,16:45:00,0.75,"Se comunica Jimmy Ramos (asesor de proveedor de BQ) y me comenta que cambiaron la metodologia de HDL y necesitaba los valores.  Se revisa en el inserto y reporte mundial pero no se encuentra otro mètodo. Quedo a las òrdenes por cualquier consulta","",1,"N"
0000014221,"N","Carolina Proto","Carolina Proto",0,2024-04-08,13:30:00,"C0223","CABINSUR SA","","","","0","AT","IAT","Tabla de reactivos utilizados en Optilite instalados - Binding Site",2024-04-08,13:30:00,2024-04-08,14:15:00,0.75,"Solicita Guillermo un listado de los reactivos utilizados en los Optilite instalados.  Se revisa en SAP y se completa el mismo.  Se envia a Guillermo","",1,"N"
0000014206,"N","Marco Alpuin","Marco Alpuin",1,2024-04-08,13:15:00,"C0001","Asociación Española Primera de Socorros Mutuos","DE81200","Chorus Trio","3648","0","AT","IAT","Resultados discordantes ",2024-04-08,13:15:00,2024-04-08,13:30:00,0.25,"Se comunica N. Rodriguez. Procesaron Mycoplasma de un paciente. En la primera vez da Equivoco. La segunda Positivo y la tercera Negativo.   Evaluar posibilidad de revisar equipo por reiteradas fallas. ","",0,"N"
0000014243,"0000014206","Marco Alpuin","Santiago Lopez",0,2024-04-08,13:15:00,"C0001","Asociación Española Primera de Socorros Mutuos","DE81200","Chorus Trio","3648","0","ST","MC","Resultados discordantes ",2024-04-09,13:15:00,2024-04-09,17:30:00,5.00,"Se concurre con Marco Alpuin.  Se revisa todo el módulo óptico del equipo.  Se encuentra que los filtros no están en óptimas condiciones y se decide cambiarlos.  Se realiza chequeo hidráulico y calibración óptica.  Se deja sanitizando, equipo en observación.","",0,"N"
0000014244,"0000014206","Marco Alpuin","Marco Alpuin",0,2024-04-08,13:15:00,"C0001","Asociación Española Primera de Socorros Mutuos","DE81200","Chorus Trio","3648","0","AT","IAT","Resultados discordantes ",2024-04-09,13:15:00,2024-04-09,17:30:00,5.00,"Se concurre con Santiago López.  Se revisa todo el módulo óptico del equipo.  Se encuentra que los filtros no están en óptimas condiciones y se decide cambiarlos.  Se realiza chequeo hidráulico y calibración óptica.  Se deja sanitizando, equipo en observación.","",0,"N"
0000014229,"N","Jovan Klaric","Santiago Lopez",1,2024-04-08,10:45:00,"C0081","Servicio Médico Integral - SMI","DE81200","Chorus Trio","3447","0","ST","MC","No pasa chequeo hidráulico.",2024-04-08,11:08:00,2024-04-08,11:23:00,0.25,"Se solicitan información, nos comentan que está dando problemas con el drenado de desechos, el lavado interno del dispenser 1 y el externo del dispenser 2.  Quedamos de pasar mañana a primera hora.","",0,"N"
0000014230,"0000014229","Jovan Klaric","Santiago Lopez",0,2024-04-08,10:45:00,"C0081","Servicio Médico Integral - SMI","DE81200","Chorus Trio","3447","0","ST","MC","No pasa chequeo hidráulico.",2024-04-09,10:00:00,2024-04-09,11:30:00,3.00,"Se revisa el equipo. Se encuentra una tubuladura de desechos apretada por un IPS, se realiza chequeo hidráulico y los errores persisten.  Se prepara solución nueva y el equipo pasa el chequeo sin problemas, equipo operativo.","",0,"N"
0000014201,"N","Carolina Proto","Carolina Proto",1,2024-04-08,09:00:00,"C0108","CUDAM","IDSIS310400","ISYS Multi-Discipline Automated System  | IDS","B300B0782","0","AT","IAT","Atasco de cubetas",2024-04-08,09:00:00,2024-04-08,09:15:00,0.25,"Se comunica Gimena, hizo el cambio de cubetas pero tuvo un atasco. Se pide foto de las cubetas y se intenta libertar sin exito. Se avisa a ST","",1,"N"
0000014204,"0000014201","Carolina Proto","Santiago Lopez",0,2024-04-08,09:00:00,"C0108","CUDAM","IDSIS310400","ISYS Multi-Discipline Automated System  | IDS","B300B0782","0","ST","MC","Atasco de cubetas",2024-04-08,12:00:00,2024-04-08,12:30:00,2.50,"Se revisa el equipo, se encuentran dos hileras de la caja de cubetas anterior obstruyendo el sistema, se retiran y se inicializa.  Se procesan CSS's sin problemas, equipo operativo.","",0,"N"
0000014217,"N","Carolina Proto","Carolina Proto",1,2024-04-08,09:00:00,"C0006","CASMU - IAMPP","BSIE700","Optilite | Binding Site","864000294562","0","AT","IAT","Consulta por volúmen de reactivos",2024-04-08,09:15:00,2024-04-08,09:30:00,0.25,"Se comunica Alicia porque el equipo no recuerda el volumen de los reactivos, solo los marca como nuevos cuando saben que son usados.  Le explico que no deberia generar inconveniente sino que se genera cuando el volumen es mayor al esperado.  Van a procesar el miercoles y me avisa cualquier cosa","",0,"N"
0000014199,"N","Fernando Conlazo","Fernando Conlazo",1,2024-04-07,14:43:00,"C0016","Instituto Asistencial Colectivo (IAC)","DE10390","VES CUBE 30 | Equipo | Diesse","1139","0","ST","MC","No detecta el cierre de la tapa. Alarma 'cerrar tapa'",2024-04-07,14:45:00,2024-04-07,15:00:00,0.25,"Se le dan instrucciones básicas a la usuaria para tratar de solucionar el inconveniente, pero el problema persiste. Se coordina para asistir en sitio mañana. Se requiere revisar el microswitch de cierre de la puerta y la pcb.","",0,"N"
